Fierro,Cromo,Aluminio,Cobre,Plomo,Nickel,Plata,Estano,Titanio,Vanadio,Cadmio,Manganeso,Sodio,Potasio,Silicio,Zinc,Bario,Boro,Calcio,Molibdeno,Magnesio,Fosforo,v 40,Contenido agua,Índice PQ,Oxidacion,Partículas > 4um,Partículas > 6um,Partículas > 14um,Family,Estado,Diagnostic,Comentario,Recomendacion,
117268,13,0.3,0.2,7.5,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,6.9,0.1,0.1,2.2,0.1,0.4,4.6,0.1,0.1,162,195.33,0,30,3.4,197378,63841,2550,Pumps,Normal,Normal,"Niveles de desgaste, junto a contaminaciones externas se determinan dentro
 de lo permisible. Grado de viscosidad y degradación normal en lubricante.","Continuar con seguimiento tribológico según plan de mantenimiento, para
 evaluar criticidad en tendencias de desgaste."
130293,10.6,0.2,0.1,7.2,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,8.3,1,2,1.9,0.1,0.7,3.4,0.1,2,176,212.04,0,25,3,212403,44439,1976,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con seguimiento tribológico según plan de mantenimiento, para
 evaluar criticidad en tendencias de desgaste."
79659,6,0.1,0.1,2.4,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.1,24,0.1,0.9,0.1,0.1,0.2,0.1,0.7,0.1,191,212.08,0,10,3.84,60870,19207,5826,Pumps,Normal,Normal,"Se aprecia un cambio de aceite, estabilizando niveles de desgaste y contaminaciones
 externas dentro de lo permisible. Grado de viscosidad y degradación
 normal en lubricante.","Continuar con monitoreo tribologico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
157544,3.8,0.1,0.1,1.6,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,2,0.1,1.3,0.1,0.1,0.1,1.5,0.1,0.1,240,217.2,0,5,3.39,87773,25116,2265,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
66791,12.4,0.1,0.1,7.1,0.1,0.2,0.2,0.1,0.1,0.4,0.1,0.5,14.3,0.2,0.1,1.1,0.1,0.1,0.1,0.1,0.3,186,227.99,0,10,3.71,492216,68864,1596,Pumps,Normal,Normal,"Se aprecia un cambio de lubricante, estabilizando concentraciones en metales
 de desgaste entre limites permisibles, Tendencia de Viscosidad estable
 para un ISO VG 220.","Continuar con seguimiento tribologico según plan de mantenimiento, para
 evaluar criticidad en tendencias de desgaste y contaminación."
101156,10,0.2,0.1,7.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.4,10.6,0.1,1.5,0.1,0.1,0.1,0.1,0.1,0.1,235,206.06,0,10,3.67,244261,55641,2339,Pumps,Normal,Normal,"Se aprecia reducción en nivel de desgaste entre límites permisibles para
 la operación, características físico químicas demuestran grado
 de viscosidad estable para operación.","Continuar con monitoreo tribologico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
163692,12.2,0.1,0.1,4.6,0.1,0.1,0.1,1,0.3,0.1,0.1,0.1,7,1.8,7,5.7,0.1,1.3,13.8,0.1,2,203,208.52,0,15,4.08,147782,23424,1287,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Se sugiere mantener evaluaciones ya que tendencias presentan leve baja
 además de comparar mediciones mecánicas por posibles desviaciones en
 rodamientos. Mantener riguroso seguimiento."
41425,38.5,0.2,0.4,45.2,0.9,1.4,0.1,1.4,0.1,0.8,0.1,0.8,0.1,0.1,5.3,1,0.1,0.1,2.3,0.1,0.1,181,209.91,0,15,4.18,681703,131581,3891,Pumps,Normal,Normal,"Se evidencia un cambio de lubricante determinando niveles normales de operación
 tanto en desgaste de metales como en ingreso de contaminantes.
 Análisis fisicoquímico determina que viscosidad se mantienen estable
 en óptima operación.","Continuar con monitoreo de lubricante y componentes según plan de mantenimiento,
 verificar tendencias en próximo muestreo."
48391,5.7,0.1,1.3,9.3,0.1,0.2,0.1,0.1,0.1,0.5,0.5,0.8,2.3,0.9,8.3,2.7,0.1,0.1,5.4,0.4,1.6,166,218.23,0,0,4.21,251964,31678,886,Pumps,Normal,Normal,"Niveles de desgaste en superficies de engranes y rodamientos se encuentran
 estables. Proceso de contaminaciones externas se determinan concentraciones
 de menor tamaño por lo cual se mantienen dentro de lo permisible.
 Proceso de Lubricación dentro de lo normal.","Continuar con monitoreo de lubricante evaluando nuevas alzas de desgaste
 y contaminantes segun plan de mantenimiento."
53686,22,0.1,0.3,29.2,0.1,2.7,0.1,0.1,0.1,0.1,0.6,0.1,1.6,0.1,0.1,2.5,0.2,0.3,2.3,0.1,0.6,199,226.07,0,10,3.24,328118,46286,1212,Pumps,Normal,Normal,"Niveles de desgaste en superficies de engranes y rodamientos se encuentran
 estables. Proceso de contaminaciones externas se determinan concentraciones
 de menor tamaño por lo cual se mantienen dentro de lo permisible.
 COD ISO 26/23/17 se determina elevado para operación.","Continuar con monitoreo de lubricante y componentes según plan de mantenimiento,
 verificar tendencias en próximo muestreo."
60370,17.4,0.1,0.1,33.4,0.1,2,0.1,2.1,0.4,0.1,0.1,3.6,6.2,1.6,1.4,3.1,0.1,0.1,4.5,4.7,0.1,208,220.8,0,10,4.61,259316,38380,1314,Pumps,Normal,Normal,"Se mantienen estables tendencias de desgaste y contaminación externa,
 entre límites permisibles para la operación, Características fisicoquímicas
 mantienen grado de viscosidad normal para lubricante especificado.","Continuar con monitoreo de lubricante y componentes según plan de mantenimiento,
 verificar tendencias en próximo muestreo."
69497,22.7,0.1,0.1,22.1,0.1,2.2,0.1,0.1,0.3,0.1,0.4,0.1,1.6,1.9,1.2,2.2,0.1,0.1,28.9,0.1,3.8,125,215.5,0,20,4.85,237629,39720,1003,Pumps,Normal,Normal,"Niveles de desgaste en superficies de engranes y rodamientos se encuentran
 estables. Contaminaciones externas se determinan en concentraciones
 de menor tamaño por lo cual se mantienen dentro de lo permisible. Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo de lubricante evaluando nuevas alzas de desgaste
 y contaminantes según plan de mantenimiento."
103139,8.5,0.1,0.5,3.6,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,4.2,0.1,0.1,0.1,0.3,0.1,0.6,0.1,0.1,183,223.81,0,10,3.83,191441,57414,2269,Pumps,Normal,Normal,"Niveles de desgaste en superficies de engranes y rodamientos se encuentran
 estables. Contaminaciones externas se determinan en concentraciones
 de menor tamaño por lo cual se mantienen dentro de lo permisible. Grado
 de viscosidad y degradación normal en lubricante. No se determina
 presencia de agua.","Continuar con monitoreo de lubricante evaluando nuevas alzas de desgaste
 y contaminantes según plan de mantenimiento."
136190,5.9,0.2,0.1,2.7,0.1,0.5,0.1,0.1,0.1,0.6,0.1,0.2,25.1,0.1,0.1,0.9,0.1,0.3,3,0.1,0.1,207,221.6,0,10,3.65,2726486,338899,8533,Pumps,Normal,Normal,"Niveles de desgaste en superficies de engranes y rodamientos, junto a contaminaciones
 externas se determinan dentro de lo permisible. Grado de
 viscosidad y degradación normal en lubricante.","Continuar con monitoreo de lubricante evaluando nuevas alzas de desgaste
 y contaminantes según plan de mantenimiento."
141273,12.7,0.1,0.1,4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,35.3,0.1,0.1,1.2,0.1,0.1,0.4,0.1,0.1,185,219,0,10,4.05,142635,33496,2177,Pumps,Normal,Normal,"Niveles de desgaste en superficies de engranes y rodamientos, se determinan
 normales para la operación, se detecta leve presencia de Na sobre
 los 35 ppm, posiblemente otorgada por humedad en lubricante, no detectando
 residuos de agua disuelta, grado de viscosidad y degradación permisible
 en lubricante.","Continuar con monitoreo de lubricante evaluando nuevas alzas de desgaste
 y contaminantes según plan de mantenimiento, de igual forma monitorear
 estado de filtro respiradero y fugas de aceite."
161041,12,0.1,1,3.7,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.1,18.5,2.6,8.4,2.7,0.3,0.9,9.9,0.1,1,234,210.42,0,10,1.47,78627,19194,1716,Pumps,Normal,Normal,"Niveles de desgaste en superficies de engranes y rodamientos, junto a contaminaciones
 externas se determinan dentro de lo permisible. Grado de
 viscosidad y degradación normal en lubricante.","Continuar con monitoreo de lubricante evaluando nuevas alzas de desgaste
 y contaminantes según plan de mantenimiento."
164582,14.3,0.1,0.1,6,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,20.4,0.1,3.4,1.8,0.1,0.1,15.4,0.1,0.9,168,205.13,0,15,3.27,167779,21320,541,Pumps,Normal,Normal,"Niveles de desgaste en superficies de engranes y rodamientos, junto a contaminaciones
 externas se determinan dentro de lo permisible. Grado de
 viscosidad y degradación normal en lubricante.","Continuar con monitoreo de lubricante evaluando nuevas alzas de desgaste
 y contaminantes según plan de mantenimiento."
49311,27.4,0.2,1,4.2,3.9,0.5,0.1,3.1,0.6,0.1,0.1,0.1,2.5,0.9,11.4,0.1,0.2,0.1,27.4,0.3,1.5,251,217.46,0,25,2.98,636579,148961,5987,Pumps,Normal,Normal,"Se aprecia reducción importante en tendencias de desgaste y contaminación
 externa alcanzando niveles normales para la operación, características
 fisicoquímicas demuestran estabilidad en grado de viscosidad
 entre limites permisibles para un ISO VG 220.","Se sugiere mantener seguimiento según plan de mantenimiento para evaluar
 tendencias en desgaste y contaminación."
160377,8.5,0.1,0.7,2.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.3,0.1,4.2,0.1,0.1,0.3,0.1,0.1,0.1,176,213.88,0,10,3.07,282373,54821,2806,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
166879,9.3,0.1,0.4,2,0.1,0.2,0.1,0.1,1,0.1,0.5,0.1,0.8,0.1,0.9,1.5,0.1,0.1,2.4,0.1,0.1,185,218.95,0,15,2.59,51179,5941,315,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
41424,26.6,0.3,0.1,4.9,4,0.4,0.1,4.6,0.1,0.3,0.1,0.1,0.1,0.1,4.3,0.1,0.9,0.2,1.1,0.1,0.1,170,206.28,0,10,3.77,547559,97917,1948,Pumps,Normal,Normal,"Se evidencia un cambio de lubricante determinando niveles normales de operación
 tanto en desgaste de metales como en ingreso de contaminantes.
 Análisis fisicoquímico determina que viscosidad se mantienen estable
 en óptima operación similar a un ISO VG 220.","Continuar con monitoreo de lubricante y componentes según plan de mantenimiento,
 verificar tendencias en próximo muestreo."
45791,13.5,0.1,0.8,3.3,0.1,0.1,0.2,1.1,0.1,0.2,0.6,0.3,0.3,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,180,200.52,0,10,2.97,678789,111977,278,Pumps,Normal,Normal,"Se aprecia un eventual cambio de aceite, reduciendo de forma parcial concentraciones
 en metales de desgaste y contaminación externa, grado de
 viscosidad con leve descenso manteniendo clasificación ISO VG 220,
 Posiblemente corresponda a un Shell Omala 220.","Continuar con monitoreo según plan de mantenimiento para evaluar tendencias
 en desgaste y contaminación."
59594,17.1,0.2,1.5,7.1,0.1,1,0.3,4.6,0.1,1.1,0.1,0.6,1.6,0.5,2.4,4,0.4,0.1,38.3,0.1,0.1,212,222.89,0,10,3.86,68155,9374,492,Pumps,Normal,Normal,"Luego de cambio de lubricante,se evidencian niveles normales para operación
 tanto en desgaste de metales como en ingreso de contaminantes. Análisis
 fisicoquímico determina que viscosidad se mantiene estable en
 óptima operación.",Continuar con monitoreo de lubricante y componentes según plan de mantenimiento.
64800,21.1,0.1,1.4,7.4,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.1,4.2,0.7,0.2,0.1,3.8,0.1,0.3,194,231.57,0,20,3.92,68561,5405,290,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.",Continuar con monitoreo de lubricante y componente según plan de mantenimiento.
74110,8.1,0.1,0.3,2.1,0.1,0.1,0.1,0.7,0.1,0.1,0.3,0.1,0.2,0.1,1.3,1.2,0.1,0.2,2.4,1.2,0.1,177,215.54,0,10,3.85,13789,2977,136,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.",Continuar con monitoreo de lubricante y componente según plan de mantenimiento.
121708,9.9,0.1,0.1,2.5,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,416,225.38,0,25,2.81,81241,18942,669,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
193447,7.1,0.1,0.1,1.5,1.8,0.1,0.1,0.1,0.2,0.1,0.1,0.2,1.6,0.1,4.2,2.4,0.8,0.1,81.3,0.1,0.1,171,315.19,0,10,3.45,21083,5466,379,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
196109,9.6,0.1,0.1,1.6,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5,0.1,4.3,2.2,0.8,0.1,63,0.1,0.3,198,312.91,0,10,3.5,12919,4024,375,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
201549,10.8,0.1,0.1,1.3,1.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.6,0.1,2.3,0.3,0.6,0.1,56.3,0.1,0.1,212,303.39,0,10,3.68,57837,10358,1586,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
204870,0.1,0.1,0.1,0.1,3.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.3,0.1,15.8,0.1,0.1,180,301.96,0,5,3.58,948,367,87,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo de lubricante según plan de mantenimiento, para
 ver tendencias en desgaste y contaminación."
207518,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,2.1,0.8,0.1,0.1,14.9,0.1,0.1,195,303.46,0,0,2.87,7944,2315,258,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
209015,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.6,0.1,0.1,0.1,11.5,0.1,0.1,206,314.15,0,5,3.39,2704,937,304,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
211391,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,11.9,0.1,0.1,186,305.47,0,5,3.59,1658,500,70,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
213337,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.1,0.1,0.1,174,308.3,0,5,3.47,8029,2168,154,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
215464,2.2,0.1,0.1,0.8,1.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.6,0.2,0.1,0.1,9.5,0.1,0.1,192,297.96,0,5,3.36,11969,2482,262,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
218389,3.1,0.1,0.1,0.2,2.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.7,0.1,0.1,0.1,9.9,0.1,0.1,177,306,0,5,3.04,7347,2402,150,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
241485,4.1,0.1,0.1,0.1,2.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.5,0.1,0.1,0.1,6.7,0.1,0.1,205,310.98,0,5,4.03,7939,1846,300,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
258231,2.9,0.1,0.1,2.2,1.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,7.1,0.1,0.1,212,307.64,0,0,3.8,34638,9727,1100,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
287360,7.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.3,0.1,0.1,7.6,0.1,0.1,241,306.63,0,10,3.7,4208,418,68,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, grado
 de viscosidad y degradación normal de lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
188593,4.1,0.1,0.1,1.4,2.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.2,1.9,0.1,0.4,7,0.1,0.1,194,308.23,0,5,2.87,35278,10471,930,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas se determinan en menor tamaño
 por lo cual se mantienen dentro de lo permisible. Grado de viscosidad
 y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
203015,8.6,0.1,0.1,0.6,4.5,0.2,0.1,0.1,0.1,0.9,0.1,0.5,0.2,0.4,2.1,4.1,0.1,0.1,4.7,1.3,0.4,202,304.38,0,5,3.32,119147,26509,2543,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo de lubricante según plan de mantenimiento, para
 ver tendencias en desgaste y contaminación."
217816,5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,3.1,0.1,0.1,2.1,0.1,0.1,188,314.94,0,5,4.14,8084,2173,120,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
228106,7.1,0.1,0.1,0.2,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.4,0.1,0.1,0.1,0.1,0.1,0.1,181,311.98,0,10,3.29,5421,873,90,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad y degradación normal en lubricante.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
